GEO.id,GEO.id2,GEO.display-label,respop72016
0500000US39001,39001,"Adams County, Ohio",27907
0500000US39003,39003,"Allen County, Ohio",103742
0500000US39005,39005,"Ashland County, Ohio",53652
0500000US39007,39007,"Ashtabula County, Ohio",98231
0500000US39009,39009,"Athens County, Ohio",66186
0500000US39011,39011,"Auglaize County, Ohio",45894
0500000US39013,39013,"Belmont County, Ohio",68673
0500000US39015,39015,"Brown County, Ohio",43759
0500000US39017,39017,"Butler County, Ohio",377537
0500000US39019,39019,"Carroll County, Ohio",27669
0500000US39021,39021,"Champaign County, Ohio",38747
0500000US39023,39023,"Clark County, Ohio",134786
0500000US39025,39025,"Clermont County, Ohio",203022
0500000US39027,39027,"Clinton County, Ohio",41902
0500000US39029,39029,"Columbiana County, Ohio",103685
0500000US39031,39031,"Coshocton County, Ohio",36602
0500000US39033,39033,"Crawford County, Ohio",42083
0500000US39035,39035,"Cuyahoga County, Ohio",1249352
0500000US39037,39037,"Darke County, Ohio",51778
0500000US39039,39039,"Defiance County, Ohio",38158
0500000US39041,39041,"Delaware County, Ohio",196463
0500000US39043,39043,"Erie County, Ohio",75107
0500000US39045,39045,"Fairfield County, Ohio",152597
0500000US39047,39047,"Fayette County, Ohio",28676
0500000US39049,39049,"Franklin County, Ohio",1264518
0500000US39051,39051,"Fulton County, Ohio",42514
0500000US39053,39053,"Gallia County, Ohio",30015
0500000US39055,39055,"Geauga County, Ohio",94060
0500000US39057,39057,"Greene County, Ohio",164765
0500000US39059,39059,"Guernsey County, Ohio",39063
0500000US39061,39061,"Hamilton County, Ohio",809099
0500000US39063,39063,"Hancock County, Ohio",75872
0500000US39065,39065,"Hardin County, Ohio",31474
0500000US39067,39067,"Harrison County, Ohio",15307
0500000US39069,39069,"Henry County, Ohio",27629
0500000US39071,39071,"Highland County, Ohio",43029
0500000US39073,39073,"Hocking County, Ohio",28340
0500000US39075,39075,"Holmes County, Ohio",43936
0500000US39077,39077,"Huron County, Ohio",58439
0500000US39079,39079,"Jackson County, Ohio",32505
0500000US39081,39081,"Jefferson County, Ohio",66704
0500000US39083,39083,"Knox County, Ohio",60814
0500000US39085,39085,"Lake County, Ohio",228614
0500000US39087,39087,"Lawrence County, Ohio",60872
0500000US39089,39089,"Licking County, Ohio",172198
0500000US39091,39091,"Logan County, Ohio",45165
0500000US39093,39093,"Lorain County, Ohio",306365
0500000US39095,39095,"Lucas County, Ohio",432488
0500000US39097,39097,"Madison County, Ohio",43419
0500000US39099,39099,"Mahoning County, Ohio",230008
0500000US39101,39101,"Marion County, Ohio",65096
0500000US39103,39103,"Medina County, Ohio",177221
0500000US39105,39105,"Meigs County, Ohio",23125
0500000US39107,39107,"Mercer County, Ohio",40909
0500000US39109,39109,"Miami County, Ohio",104679
0500000US39111,39111,"Monroe County, Ohio",14210
0500000US39113,39113,"Montgomery County, Ohio",531239
0500000US39115,39115,"Morgan County, Ohio",14804
0500000US39117,39117,"Morrow County, Ohio",35036
0500000US39119,39119,"Muskingum County, Ohio",86068
0500000US39121,39121,"Noble County, Ohio",14294
0500000US39123,39123,"Ottawa County, Ohio",40636
0500000US39125,39125,"Paulding County, Ohio",18865
0500000US39127,39127,"Perry County, Ohio",35927
0500000US39129,39129,"Pickaway County, Ohio",57565
0500000US39131,39131,"Pike County, Ohio",28160
0500000US39133,39133,"Portage County, Ohio",161921
0500000US39135,39135,"Preble County, Ohio",41247
0500000US39137,39137,"Putnam County, Ohio",34056
0500000US39139,39139,"Richland County, Ohio",121107
0500000US39141,39141,"Ross County, Ohio",77000
0500000US39143,39143,"Sandusky County, Ohio",59330
0500000US39145,39145,"Scioto County, Ohio",76088
0500000US39147,39147,"Seneca County, Ohio",55353
0500000US39149,39149,"Shelby County, Ohio",48623
0500000US39151,39151,"Stark County, Ohio",373612
0500000US39153,39153,"Summit County, Ohio",540300
0500000US39155,39155,"Trumbull County, Ohio",201825
0500000US39157,39157,"Tuscarawas County, Ohio",92420
0500000US39159,39159,"Union County, Ohio",55457
0500000US39161,39161,"Van Wert County, Ohio",28362
0500000US39163,39163,"Vinton County, Ohio",12921
0500000US39165,39165,"Warren County, Ohio",227063
0500000US39167,39167,"Washington County, Ohio",60610
0500000US39169,39169,"Wayne County, Ohio",116470
0500000US39171,39171,"Williams County, Ohio",37017
0500000US39173,39173,"Wood County, Ohio",130219
0500000US39175,39175,"Wyandot County, Ohio",22118